,county,inmate_num,non_inmate_num,month,2020
35,San Bernardino,320.0,783.0,6,0
36,San Diego,420.0,765.0,6,0
37,San Joaquin,-0.0,326.0,6,0
38,San Luis Obispo,100.0,357.0,6,0
39,San Mateo,-0.0,0.0,6,0
40,Santa Barbara,-0.0,625.0,6,0
41,Santa Clara,-0.0,572.0,6,0
42,Santa Cruz,100.0,63.0,6,0
43,Shasta,100.0,386.0,6,0
44,Sierra,-0.0,45.0,6,0
45,Siskiyou,80.0,26.0,6,0
46,Solano,120.0,247.0,6,0
47,Sonoma,-0.0,204.0,6,0
48,Stanislaus,-0.0,383.0,6,0
49,Sutter,-0.0,120.0,6,0
50,Tehama,220.0,142.0,6,0
51,Trinity,120.0,33.0,6,0
52,Tulare,180.0,615.0,6,0
53,Tuolumne,120.0,73.0,6,0
54,Ventura,100.0,431.0,6,0
55,Yolo,-0.0,247.0,6,0
56,Yuba,-0.0,81.0,6,0
0,Alameda,-0.0,613.0,6,1
1,Alpine,-0.0,0.0,6,1
2,Amador,65.0,56.0,6,1
3,Butte,-0.0,419.0,6,1
4,Calaveras,48.0,55.0,6,1
5,Colusa,0.0,0.0,6,1
6,Contra Costa,-0.0,326.0,6,1
7,Del Norte,39.0,1.0,6,1
8,El Dorado,72.0,91.0,6,1
9,Fresno,48.0,728.0,6,1
10,Glenn,47.0,162.0,6,1
11,Humboldt,81.0,-0.0,6,1
12,Imperial,-0.0,0.0,6,1
13,Inyo,56.0,85.0,6,1
14,Kern,-0.0,870.0,6,1
15,Kings,-0.0,0.0,6,1
16,Lake,50.0,86.0,6,1
17,Lassen,95.0,125.0,6,1
18,Los Angeles,262.0,677.0,6,1
19,Madera,-0.0,119.0,6,1
20,Marin,-0.0,81.0,6,1
21,Mariposa,50.0,8.0,6,1
22,Mendocino,94.0,157.0,6,1
23,Merced,-0.0,255.0,6,1
24,Modoc,45.0,2.0,6,1
25,Mono,56.0,108.0,6,1
26,Monterey,44.0,665.0,6,1
27,Napa,-0.0,243.0,6,1
28,Nevada,0.0,0.0,6,1
29,Orange,-0.0,163.0,6,1
30,Placer,41.0,449.0,6,1
31,Plumas,-0.0,0.0,6,1
32,Riverside,166.0,1060.0,6,1
33,Sacramento,-0.0,408.0,6,1
34,San Benito,-0.0,26.0,6,1
35,San Bernardino,124.0,979.0,6,1
36,San Diego,134.0,1051.0,6,1
37,San Joaquin,-0.0,326.0,6,1
38,San Luis Obispo,70.0,357.0,6,1
39,San Mateo,-0.0,0.0,6,1
40,Santa Barbara,-0.0,625.0,6,1
41,Santa Clara,-0.0,572.0,6,1
42,Santa Cruz,50.0,113.0,6,1
43,Shasta,5.0,386.0,6,1
44,Sierra,-0.0,45.0,6,1
45,Siskiyou,41.0,26.0,6,1
46,Solano,50.0,317.0,6,1
47,Sonoma,-0.0,204.0,6,1
48,Stanislaus,-0.0,383.0,6,1
49,Sutter,-0.0,120.0,6,1
50,Tehama,99.0,142.0,6,1
51,Trinity,46.0,33.0,6,1
52,Tulare,91.0,615.0,6,1
53,Tuolumne,56.0,73.0,6,1
54,Ventura,7.0,524.0,6,1
55,Yolo,-0.0,247.0,6,1
56,Yuba,-0.0,81.0,6,1
0,Alameda,-0.0,694.0,7,0
1,Alpine,-0.0,0.0,7,0
2,Amador,80.0,56.0,7,0
3,Butte,-0.0,419.0,7,0
4,Calaveras,114.0,55.0,7,0
5,Colusa,120.0,177.0,7,0
6,Contra Costa,-0.0,694.0,7,0
7,Del Norte,100.0,6.0,7,0
8,El Dorado,120.0,489.0,7,0
9,Fresno,80.0,839.0,7,0
10,Glenn,81.0,-0.0,7,0
11,Humboldt,220.0,548.0,7,0
